id,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET,Lat,Long,Image_Id
57,Investigate Person,10/3/2018 16:54,STRATTON ST,42.288812,-71.085132,5cae691a579dc84342e0953f
58,Auto Theft,10/2/2018 20:00,BLUE HILL AVE,42.314321,-71.079006,5cae691a579dc84342e0955a
59,Larceny,10/3/2018 16:30,CENTRAL WHARF,42.358955,-71.05035,5cae691a579dc84342e094d4
60,Investigate Person,10/3/2018 15:26,LAWRENCE AVE,42.311611,-71.076256,5cae691a579dc84342e09587
61,Warrant Arrests,10/3/2018 17:36,PARIS ST,42.370818,-71.039291,5cae691a579dc84342e094d4
62,Recovered Stolen Property,10/3/2018 16:59,LONDON ST,42.373321,-71.039046,5cae691a579dc84342e094d4
63,Liquor Violation,10/3/2018 17:33,DUDLEY ST,42.328632,-71.083099,5cae691a579dc84342e094d4
64,Investigate Property,10/3/2018 17:27,YAWKEY WAY,42.346538,-71.098806,5cae691a579dc84342e094d4
65,Vandalism,10/3/2018 16:25,TREMLETT ST,42.294723,-71.070585,5cae691a579dc84342e094d4
66,Larceny,10/2/2018 15:00,ALBANY ST,42.330769,-71.077665,5cae691a579dc84342e094d6
67,Motor Vehicle Accident Response,10/3/2018 15:13,DORCHESTER AVE,42.31091,-71.057674,5cae691a579dc84342e09556
68,Larceny,6/4/2018 9:00,TALBOT AVE,42.287148,-71.06493,5cae691a579dc84342e094d4
69,Investigate Property,6/4/2018 9:00,TALBOT AVE,42.287148,-71.06493,5cae691a579dc84342e094d4
70,Motor Vehicle Accident Response,10/1/2018 19:00,COLWELL AVE,42.342592,-71.155817,5cae691a579dc84342e094d4
71,Larceny,10/1/2018 19:00,FANEUIL HALL MARKETPLACE,42.35998,-71.054741,5cae691a579dc84342e094d4
72,Property Lost,10/3/2018 8:30,BERKELEY ST,42.349976,-71.072426,5cae691a579dc84342e094d4
73,Residential Burglary,10/3/2018 11:30,HOLLINGSWORTH ST,42.266156,-71.101181,5cae691a579dc84342e094d4
74,Auto Theft,10/3/2018 8:00,TENNIS RD,42.276157,-71.095503,5cae691a579dc84342e094d4
75,Motor Vehicle Accident Response,10/3/2018 15:51,LONGWOOD AVE,42.339727,-71.108683,5cae691a579dc84342e09506
